No,유치원명,최종주소,X,Y
80,무릉초등학교병설유치원 ,제주특별자치도 서귀포시 서삼중로 106,126.2017,33.2736
81,법환초등학교병설유치원 ,제주특별자치도 서귀포시 이어도로 879,126.5091,33.2386
82,보목초등학교병설유치원 ,제주특별자치도 서귀포시 마소물로8번길 9,126.5996,33.2451
83,보성초등학교병설유치원 ,제주특별자치도 서귀포시 추사로55번길 6-1,126.2759,33.2508
84,사계초등학교병설유치원 ,제주특별자치도 서귀포시 산방로 346,126.2996,33.2345
85,서광초등학교병설유치원 ,제주특별자치도 서귀포시 중산간서로 1842,126.3268,33.2892
86,서귀북초등학교병설유치원 ,제주특별자치도 서귀포시 중앙로 175,126.5583,33.261
87,서귀서초등학교병설유치원 ,제주특별자치도 서귀포시 솜반천로 38,126.5568,33.2555
88,서귀중앙초등학교병설유치원 ,제주특별자치도 서귀포시 중동로8번길 8,126.5646,33.2546
89,서귀포초등학교병설유치원 ,제주특별자치도 서귀포시 솔동산로11번길 17,126.5663,33.2453
90,서호초등학교병설유치원 ,제주특별자치도 서귀포시 호근남로 40,126.5286,33.2549
91,성모유치원 ,제주특별자치도 서귀포시 화순중앙로12번길 1,126.3344,33.2513
92,성산초등학교병설유치원 ,제주특별자치도 서귀포시 한도로 217,126.9319,33.4693
93,성신유치원 ,제주특별자치도 서귀포시 고성오조로 120,126.9147,33.455
94,성읍초등학교병설유치원 ,제주특별자치도 서귀포시 성읍민속로 65,126.7984,33.385
95,수산초등학교병설유치원 ,제주특별자치도 서귀포시 수시로 9,126.8854,33.4485
96,시흥초등학교병설유치원 ,제주특별자치도 서귀포시 시흥상동로 113,126.8957,33.4808
97,신례초등학교병설유치원 ,제주특별자치도 서귀포시 중산간동로 7116,126.6319,33.2858
98,신산초등학교병설유치원 ,제주특별자치도 서귀포시 일주동로 5104,126.8756,33.3826
99,안덕초등학교병설유치원 ,제주특별자치도 서귀포시 화순로56번길 32,126.3361,33.2518
100,예래초등학교병설유치원 ,제주특별자치도 서귀포시 예래로 210-14,126.3919,33.2472
101,예원유치원 ,제주특별자치도 서귀포시 동홍중앙로 28,126.5723,33.2543
102,온평초등학교병설유치원 ,제주특별자치도 서귀포시 일주동로 4740,126.8964,33.4093
