"Objt_id","Fclty_ty","Fclty_cd","Fclty_id","Fclty_nm","Adres","Rn_adres","Telno","X","Y","Ctprvn_cd","Sgg_cd","Emd_cd"
2195697.00000000000,"방범등",5080200000000.00000000000,1104950,"","","","",126.43016006100,33.48500468080,"제주특별자치도","제주시","외도일동"
2195698.00000000000,"방범등",5080200000000.00000000000,1104951,"","","","",126.42973945500,33.49142903350,"제주특별자치도","제주시","외도일동"
2195699.00000000000,"방범등",5080200000000.00000000000,1104952,"","","","",126.42817294700,33.48543874830,"제주특별자치도","제주시","외도일동"
2195700.00000000000,"방범등",5080200000000.00000000000,1104953,"","","","",126.42909228100,33.49179814030,"제주특별자치도","제주시","외도일동"
2195701.00000000000,"방범등",5080200000000.00000000000,1104954,"","","","",126.42934170300,33.48736639530,"제주특별자치도","제주시","외도일동"
2195702.00000000000,"방범등",5080200000000.00000000000,1104955,"","","","",126.43187835000,33.48741167030,"제주특별자치도","제주시","외도일동"
2195703.00000000000,"방범등",5080200000000.00000000000,1104956,"","","","",126.42960184500,33.48702652230,"제주특별자치도","제주시","외도일동"
2195704.00000000000,"방범등",5080200000000.00000000000,1104957,"","","","",126.43327494500,33.49015805630,"제주특별자치도","제주시","외도일동"
2195705.00000000000,"방범등",5080200000000.00000000000,1104958,"","","","",126.43378484400,33.49232814780,"제주특별자치도","제주시","외도일동"
2195706.00000000000,"방범등",5080200000000.00000000000,1104959,"","","","",126.42944468000,33.48871121910,"제주특별자치도","제주시","외도일동"
2195707.00000000000,"방범등",5080200000000.00000000000,1104960,"","","","",126.42654891200,33.49123544410,"제주특별자치도","제주시","외도일동"
2195708.00000000000,"방범등",5080200000000.00000000000,1104961,"","","","",126.43308418800,33.48972533110,"제주특별자치도","제주시","외도일동"
2195709.00000000000,"방범등",5080200000000.00000000000,1104962,"","","","",126.43143500100,33.48499736390,"제주특별자치도","제주시","외도일동"
2195710.00000000000,"방범등",5080200000000.00000000000,1104963,"","","","",126.43028340400,33.48680642370,"제주특별자치도","제주시","외도일동"
2195711.00000000000,"방범등",5080200000000.00000000000,1104964,"","","","",126.43419576800,33.49004631940,"제주특별자치도","제주시","외도일동"
2195712.00000000000,"방범등",5080200000000.00000000000,1104965,"","","","",126.43149848900,33.48731850710,"제주특별자치도","제주시","외도일동"
2195713.00000000000,"방범등",5080200000000.00000000000,1104966,"","","","",126.42911662900,33.49141489670,"제주특별자치도","제주시","외도일동"
2195714.00000000000,"방범등",5080200000000.00000000000,1104967,"","","","",126.43284626300,33.49146293770,"제주특별자치도","제주시","외도일동"
2195715.00000000000,"방범등",5080200000000.00000000000,1104968,"","","","",126.43201180700,33.48694489870,"제주특별자치도","제주시","외도일동"
2195716.00000000000,"방범등",5080200000000.00000000000,1104969,"","","","",126.43214210400,33.49144781280,"제주특별자치도","제주시","외도일동"
2195717.00000000000,"방범등",5080200000000.00000000000,1104970,"","","","",126.43150595400,33.48831686110,"제주특별자치도","제주시","외도일동"
2195718.00000000000,"방범등",5080200000000.00000000000,1104971,"","","","",126.43152312000,33.49099391870,"제주특별자치도","제주시","외도일동"
2195719.00000000000,"방범등",5080200000000.00000000000,1104972,"","","","",126.43031755800,33.48821449200,"제주특별자치도","제주시","외도일동"
2195720.00000000000,"방범등",5080200000000.00000000000,1104973,"","","","",126.43021550100,33.49241385600,"제주특별자치도","제주시","외도일동"
2195721.00000000000,"방범등",5080200000000.00000000000,1104974,"","","","",126.43377370400,33.49015456520,"제주특별자치도","제주시","외도일동"
2195722.00000000000,"방범등",5080200000000.00000000000,1104975,"","","","",126.43417672000,33.49137182930,"제주특별자치도","제주시","외도일동"
2195723.00000000000,"방범등",5080200000000.00000000000,1104976,"","","","",126.42921531500,33.48747499580,"제주특별자치도","제주시","외도일동"
2195724.00000000000,"방범등",5080200000000.00000000000,1104977,"","","","",126.43238981900,33.49005907650,"제주특별자치도","제주시","외도일동"
2195725.00000000000,"방범등",5080200000000.00000000000,1104978,"","","","",126.42877689900,33.48543522250,"제주특별자치도","제주시","외도일동"
2195726.00000000000,"방범등",5080200000000.00000000000,1104979,"","","","",126.42750353300,33.49125581700,"제주특별자치도","제주시","외도일동"
