No,학교명,최종 주소,X,Y
62,한림초등학교,제주특별자치도 제주시 한림읍 한림로4길 16,126.2610903,33.41119642
63,한천초등학교,제주특별자치도 제주시 남성로11길 2,126.5135914,33.50548395
64,함덕초등학교,제주특별자치도 제주시 조천읍 일주동로 1231,126.672304,33.53843007
65,해안초등학교,제주특별자치도 제주시 해안마을길 76,126.4541806,33.45666692
66,화북초등학교,제주특별자치도 제주시 일주동로 157,126.5619226,33.51844983
67,제주대학교교육대학부설초등학교,제주특별자치도 제주시 일주동로 61,126.5527263,33.51508991
68,가마초등학교,제주특별자치도 서귀포시 표선면 일주동로6285번길 8 ,126.7998,33.3067
69,가파초등학교,제주특별자치도 서귀포시 대정읍 가파리 464,126.2703,33.1691
70,강정초등학교,제주특별자치도 서귀포시 강정동 4550  ,126.4788,33.2347
71,남원초등학교,제주특별자치도 서귀포시 남원읍 태위로 647  ,126.7157,33.2789
72,대정초등학교,제주특별자치도 서귀포시 대정읍 상모리 3864  ,126.2555,33.2252
73,대정서초등학교,제주특별자치도 서귀포시 대정읍 동일하모로 43  ,126.2392,33.2321
74,덕수초등학교,제주특별자치도 서귀포시 안덕면 덕수리 2379-3,126.3045,33.2518
75,도순초등학교,제주특별자치도 서귀포시 도순남로 83 ,126.4774,33.2473
76,동남초등학교,제주특별자치도 서귀포시 성산읍 고성오조로 55  ,126.914,33.4491
77,무릉초등학교,제주특별자치도 서귀포시 대정읍 서삼중로 106  ,126.2014,33.2724
78,법환초등학교,제주특별자치도 서귀포시 법환동 1244-3,126.5087,33.2375
79,보목초등학교,제주특별자치도 서귀포시 마소물로8번길 9,126.6001,33.2449
80,보성초등학교,제주특별자치도 서귀포시 대정읍 보성리 1629-2 ,126.276,33.2496
81,사계초등학교,제주특별자치도 서귀포시 안덕면 사계리 1731-2 ,126.2998,33.2336
82,새서귀초등학교,제주특별자치도 서귀포시 신서귀로76번길 6-3 ,126.5132,33.2567
83,서광초등학교,제주특별자치도 서귀포시 중산간서로 1842 ,126.3264,33.2886
84,서귀북초등학교,제주특별자치도 서귀포시 서홍동 308 ,126.5588,33.2603
85,서귀서초등학교,제주특별자치도 서귀포시 솜반천로 38  ,126.5567,33.2546
86,서귀중앙초등학교,제주특별자치도 서귀포시 동문동로 54  ,126.5638,33.253
87,서귀포초등학교,제주특별자치도 서귀포시 솔동산로11번길 17  ,126.5661,33.2443
88,서호초등학교,제주특별자치도 서귀포시 호근남로 40 ,126.5291,33.2538
89,성산초등학교,제주특별자치도 서귀포시 성산읍 성산리 333  ,126.9318,33.4683
90,성읍초등학교,제주특별자치도 서귀포시 표선면 성읍민속로 65  ,126.7983,33.3838
91,수산초등학교,제주특별자치도 서귀포시 성산읍 수시로 9,126.8857,33.4472
92,시흥초등학교,제주특별자치도 서귀포시 성산읍 시흥리 1214-4,126.8955,33.4795
93,신례초등학교,제주특별자치도 서귀포시 남원읍 중산간동로 7116  ,126.6322,33.2845
94,신산초등학교,제주특별자치도 서귀포시 성산읍 일주동로 5104  ,126.8758,33.3817
95,안덕초등학교,제주특별자치도 서귀포시 안덕면 화순리 1290  ,126.3361,33.2507
96,예래초등학교,제주특별자치도 서귀포시 상예동 1152-3,126.3913,33.2463
97,온평초등학교,제주특별자치도 서귀포시 성산읍 온평리 1577 ,126.8968,33.4085
98,위미초등학교,제주특별자치도 서귀포시 남원읍 태위로 57  ,126.6539,33.2742
99,의귀초등학교,제주특별자치도 서귀포시 남원읍 의귀리 1483-3,126.7141,33.3111
100,중문초등학교,제주특별자치도 서귀포시 천제연로 231  ,126.4296,33.2525
101,창천초등학교,제주특별자치도 서귀포시 안덕면 창천중앙로 12  ,126.3693,33.2635
102,태흥초등학교,제주특별자치도 서귀포시 남원읍 태위로 915 ,126.7429,33.2864
103,토산초등학교,제주특별자치도 서귀포시 표선면 토산중앙로 68-9 ,126.7776,33.3123
104,토평초등학교,제주특별자치도 서귀포시 토평동 1210-1 ,126.5896,33.2662
105,표선초등학교,제주특별자치도 서귀포시 표선면 표선동서로 293  ,126.8349,33.33
106,풍천초등학교,제주특별자치도 서귀포시 성산읍 신천리 603  ,126.8503,33.3491
107,하례초등학교,제주특별자치도 서귀포시 남원읍 하례리 326  ,126.6309,33.2646
108,하원초등학교,제주특별자치도 서귀포시 월평하원로 149  ,126.4595,33.2532
109,효돈초등학교,제주특별자치도 서귀포시 효돈로 161  ,126.6161,33.2644
110,흥산초등학교,제주특별자치도 서귀포시 남원읍 일주동로 6642  ,126.7655,33.3001
111,동홍초등학교,제주특별자치도 서귀포시 동홍북로 17  ,126.5702,33.2603
112,한마음초등학교,제주특별자치도 서귀포시 표선면 하천리 1794-1 ,126.8151,33.3523
