No.,시설명,설치장소,주소,X,Y
193,하귀초등학교 놀이시설,학교,제주특별자치시 제주시 하귀로 44,126.401933,33.47935187
194,종달초등학교 놀이시설,학교,제주특별자치도 제주시 구좌읍 종달로7길 5,126.897138,33.4924122
195,귀덕초등학교 놀이시설,학교,제주특별자치도 제주시 한림읍 귀덕14길 14-5,126.2933931,33.44180459
196,도평초등학교 놀이시설,학교,제주특별자치도 제주시 도평길 17,126.447263,33.48051903
197,창천초등학교 놀이시설,학교,제주특별자치도 서귀포시 안덕면 창천중앙로 12,126.3692775,33.26332116
198,표선초등학교 놀이시설,학교,제주특별자치도 서귀포시 표선면 표선동서로 293,126.8349541,33.32960361
199,시흥초등학교 놀이시설,학교,제주특별자치시 서귀포시 시흥상동로 113,126.8954972,33.47913929
200,추자초등학교신양분교장 놀이시설,학교,제주특별자치도 제주시 추자면 추자로 553-10,126.3256565,33.94487405
201,추자초등학교 놀이시설,학교,제주특별자치도 제주시 추자면 대서3길 10,126.2955692,33.96384376
202,하원초등학교 놀이시설,학교,제주특별자치도 서귀포시 월평하원로 149 ,126.4595467,33.25279374
203,흥산초등학교 놀이시설,학교,제주특별자치도 서귀포시 남원읍 일주동로 6642,126.76535,33.299962
204,해안초등학교 놀이시설,학교,제주특별자치시 제주시 해안마을길 76,126.4541806,33.45666692
205,법환초등학교 놀이시설,학교,제주특별자치도 서귀포시 이어도로 879,126.5089302,33.23760905
206,신제주초등학교 놀이시설,학교,제주특별자치도 제주시 비월길 29,126.4978164,33.48285406
207,영평초등학교 놀이시설,학교,제주특별자치도 제주시 아봉로 225 ,126.5670095,33.47852763
208,한림초등학교 놀이시설,학교,제주특별자치시 제주시 한림로4길 16,126.2610903,33.41119642
209,온평초등학교 놀이시설,학교,제주특별자치도 서귀포시 성산읍 일주동로 4740,126.8967564,33.4081482
210,함덕초등학교 놀이시설,학교,제주특별자치도 제주시 조천읍 일주동로 1231,126.672304,33.53843007
211,서귀중앙초등학교 놀이시설,학교,제주특별자치도 서귀포시 동문동로 54 ,126.5637876,33.25277268
212,안덕초등학교 놀이시설,학교,제주특별자치도 서귀포시 안덕면 화순로56번길 32,126.3360634,33.2503537
